journal_title	domain
Pakistan Social Sciences Review	SSH
Emerging Science Journal	STEM
Topoi	Unknown or multidisciplinary
International Journal of Philosophical Practice	SSH
Industrial Psychiatry Journal	SSH
International Journal of Indian Psychology	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Philosophy Today	SSH
Aletheia	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Nursing Standard	STEM
Filosofija. Sociologija	SSH
Journal of Women's Health Care	STEM
Torture Journal	Unknown or multidisciplinary
Social Inclusion	SSH
International Journal of Psychology and Counselling	SSH
Innovation in Aging	SSH
Romance Notes	Unknown or multidisciplinary
Eurasian Journal of Religious studies	SSH
Bulletin of Science and Practice	STEM
JAMA	Unknown or multidisciplinary
Nursing Forum	STEM
Health Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Sociological Science	SSH
GISAP:History and Philosophy	SSH
South Asian Review	Unknown or multidisciplinary
Journal of Educational Research and Policies	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
INTERNATIONAL JOURNAL OF FAMILY CHILD AND EDUCATION	SSH
Journal of Christian Nursing	STEM
Innovation in Aging	SSH
Kyiv journal of modern psychology and psychotherapy	SSH
The Mathematical Gazette	Unknown or multidisciplinary
Academic Journal of Interdisciplinary Studies	SSH
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
Skhid	Unknown or multidisciplinary
Exchanges: The Interdisciplinary Research Journal	Unknown or multidisciplinary
Philosophy of Education	SSH
Science and education: new time	SSH
International Online Journal of Educational Sciences	SSH
Psychiatric News	SSH
Heliyon	Unknown or multidisciplinary
Feminist Teacher	SSH
Migration Letters	Unknown or multidisciplinary
Health Psychology	SSH
Affilia	Unknown or multidisciplinary
Korean Journal of Gerontological Social Welfare	SSH
TAZKIYA: Journal of Psychology	SSH
KnE Social Sciences	SSH
Dialogue and Universalism	SSH
Perspectives. Socio-political journal	SSH
Translation Review	Unknown or multidisciplinary
Journal of Chinese Language and Literature	SSH
Bandung Conference Series: Psychology  Science	SSH
Innovation in Aging	SSH
Main Issues Of Pedagogy And Psychology	SSH
Leader to Leader	Unknown or multidisciplinary
JOURNAL OF PSYCHOLOGY & BEHAVIORAL SCIENCE	SSH
Population Medicine	STEM
Asia Marketing Journal	STEM
Innovation in Aging	SSH
Current Opinion in Psychiatry	SSH
Diversity & Inclusion Research	Unknown or multidisciplinary
BMJ	Unknown or multidisciplinary
Social Research: An International Quarterly	SSH
Theatre Journal	Unknown or multidisciplinary
Procedia - Social and Behavioral Sciences	SSH
Groupwork	Unknown or multidisciplinary
Social Indicators Research	SSH
Current Research in Behavioral Sciences	SSH
Journal of Architecture and Planning (Transactions of AIJ)	Unknown or multidisciplinary
Culture Crossroads	SSH
Psychology	SSH
Journal of Psychiatry	SSH
Innovation in Aging	SSH
Pakistan Journal of Medical and Health Sciences	STEM
Innovation in Aging	SSH
Nursing Standard	STEM
JAMA Psychiatry	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Journal of Psychology & Clinical Psychiatry	SSH
CAUSALITA : Journal Of Psychology	SSH
Jurnal Psikologi	SSH
Review of Irish Studies in Europe	SSH
Journal of Exercise Science and Physiotherapy	STEM
Psychiatric News	SSH
Research on Ageing and Social Policy	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Jurnal Jaffray	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
European Journal of Public Health	STEM
International Journal of Molecular Sciences	Unknown or multidisciplinary
International Journal of Geriatrics and Gerontology	STEM
Topoi	Unknown or multidisciplinary
Current Research in Behavioral Sciences	SSH
JAMA Psychiatry	SSH
Frontiers in Humanities and Social Sciences	SSH
Asian Social Science	SSH
Critical Care Nurse	STEM
World Social Psychiatry	SSH
Общество: философия, история, культура	Unknown or multidisciplinary
Indian Journal of Palliative Care	STEM
Innovation in Aging	SSH
Psychodynamic Practice	SSH
Butwal Campus Journal	Unknown or multidisciplinary
International Journal of Indian Psychology	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Prairie Schooner	Unknown or multidisciplinary
Journal of American History	SSH
Clinical OMICs	STEM
Choice Reviews Online	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Current Opinion in Psychiatry	SSH
Innovation in Aging	SSH
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH	STEM
The British Journal of Psychiatry	SSH
The Primary Care Companion For CNS Disorders	STEM
Psychoneuroendocrinology	SSH
Tydskrif vir Letterkunde	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Catholic Pedagogy	SSH
International Maritime Health	STEM
Innovation in Aging	SSH
Topoi	Unknown or multidisciplinary
Journal of Constructivist Psychology	SSH
Makara Journal of Health Research	STEM
Oncology Nursing Forum	STEM
Mental Health Practice	STEM
The Journal of Nietzsche Studies	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Current Cardiology Reviews	Unknown or multidisciplinary
Socialization & Human Development: International Scientific Journal	SSH
Innovate Pedagogy	SSH
Occupational Medicine	STEM
Philosophy Today	SSH
Canadian Journal of Sociology	SSH
Psychology of China	SSH
Innovation in Aging	SSH
Frontiers in Business, Economics and Management	STEM
Nauki o Wychowaniu. Studia Interdyscyplinarne	Unknown or multidisciplinary
Journal of Psychology Research	SSH
Learning Disability Practice	SSH
The Department Chair	Unknown or multidisciplinary
Journal of Science, Humanities and Arts - JOSHA	SSH
Social Networking	SSH
The Mind-Journal of Psychology	SSH
Communicology	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Habitus	Unknown or multidisciplinary
Innovation in Aging	SSH
OUGHTOPIA	Unknown or multidisciplinary
Listening	Unknown or multidisciplinary
Psychological Reports	SSH
Comprehensive Psychiatry	SSH
JAMA Internal Medicine	STEM
Anthrozoös	Unknown or multidisciplinary
Bohemica Olomucensia	Unknown or multidisciplinary
Psychiatric News	SSH
PsyPag Quarterly	Unknown or multidisciplinary
Journal of Family Counseling and Education	SSH
School Psychology International	SSH
Palliative and Supportive Care	STEM
International Journal of Psychology and Educational Studies	SSH
Frontiers in Psychology	SSH
Ambient Science	STEM
International Psychogeriatrics	SSH
Current Research in Behavioral Sciences	SSH
International Journal of Psychology and Educational Studies	SSH
SOCIAL SCIENCES AND HUMANITIES. DOMESTIC AND FOREIGN LITERATURE. SERIES 11: SOCIOLOGY	SSH
Jurnal Ilmiah Psikologi Terapan	SSH
Australian Feminist Studies	SSH
Feminist Theory	SSH
Innovation in Aging	SSH
Studia z Teorii Wychowania	Unknown or multidisciplinary
Innovation in Aging	SSH
Proceedings of The ICECRS	Unknown or multidisciplinary
The Open Psychology Journal	SSH
Thesis Eleven	Unknown or multidisciplinary
Innovation in Aging	SSH
Feminist Teacher	SSH
Psychology of China	SSH
Innovation in Aging	SSH
Philosophy Today	SSH
Academic Journal of Interdisciplinary Studies	SSH
한국문예비평연구	Unknown or multidisciplinary
PSIKOPEDIA	SSH
Perspectives in Public Health	STEM
Journal of Psychiatric Practice	SSH
Distributed Computing	STEM
Psychological Reports	SSH
New Explorations	Unknown or multidisciplinary
Personality and Individual Differences	Unknown or multidisciplinary
Chinese Studies	SSH
REVISTA ARGENTINA DE CLINICA PSICOLOGICA	SSH
Innovation in Aging	SSH
Journal of Social Science and Humanities	SSH
Visnyk of the Lviv University	Unknown or multidisciplinary
Vestnik Universiteta	Unknown or multidisciplinary
BMC Geriatrics	STEM
Innovation in Aging	SSH
Portuguese Journal of Mental Health Nursing	STEM
Innovation in Aging	SSH
Philosophical Psychology	SSH
American Literature	SSH
Journal of Human Ecology	Unknown or multidisciplinary
Social Inquiry into Well-Being	SSH
Innovation in Aging	SSH
Frontiers in Psychiatry	SSH
Journal of Catholic Education	SSH
Korea Journal of Counseling	SSH
ASIA MARKETING JOURNAL	STEM
Veterinary Record	STEM
Childhood	SSH
TED EĞİTİM VE BİLİM	Unknown or multidisciplinary
Psychological Reports	SSH
Analysis	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Psychotherapy	SSH
Nursing Standard	STEM
Journal of Abnormal Psychology	SSH
International Journal of Psychological Studies	SSH
Tizard Learning Disability Review	SSH
Computers in Human Behavior	SSH
International Psychogeriatrics	SSH
Social Science & Medicine	SSH
Landscape Architecture Frontiers	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Aotearoa New Zealand Social Work	SSH
Nursing Standard	STEM
Keimyung Medical Journal	STEM
Choice Reviews Online	Unknown or multidisciplinary
Proyeksi	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Nursing Older People	STEM
Türkiye İlahiyat Araştırmaları Dergisi	Unknown or multidisciplinary
Innovation in Aging	SSH
The Review of Korean Cultural Studies	SSH
Innovation in Aging	SSH
Cochrane Clinical Answers	STEM
Journal of Developmental & Behavioral Pediatrics	SSH
Clinical Pediatrics	STEM
Gênero & Direito	Unknown or multidisciplinary
European Journal of Business and Management	STEM
Quality in Ageing and Older Adults	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Journal Psikogenesis	SSH
Ageing International	SSH
Psychology and Aging	SSH
Health Psychology	SSH
Postmodern Culture	SSH
European Journal of Public Health	STEM
Public Health Ethics	STEM
The Anthropologist	SSH
Assessment and Development Matters	SSH
Current Psychology	SSH
Asian Journal of Education and Training	SSH
New England Journal of Medicine	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
Gerontechnology	STEM
Psychogeriatrics	SSH
Europe’s Journal of Psychology	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
American Journal of Neuroradiology	STEM
Journal of Analytical Psychology	SSH
HEALTH AND SOCIAL SCIENCE	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Habitus	Unknown or multidisciplinary
KnE Social Sciences	SSH
Innovation in Aging	SSH
European Journal of Oncology Nursing	STEM
Current Developments in Nutrition	SSH
European Journal of Public Health	STEM
Journal of Christian Nursing	STEM
Psychoanalysis, Culture & Society	SSH
Psychiatriki	SSH
Acta Psychologica	SSH
The Gerontologist	Unknown or multidisciplinary
Innovation in Aging	SSH
Brain, Behavior, and Immunity	SSH
Innovation in Aging	SSH
Seminars in Integrative Medicine	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
International Psychogeriatrics	SSH
Loquēla (Journal of Linguistics, Literature, and Education)	SSH
Psychiatric News	SSH
Library Hi Tech	Unknown or multidisciplinary
Horizons	Unknown or multidisciplinary
Couple and Family Psychoanalysis	SSH
Towards Excellence	Unknown or multidisciplinary
Matters of Behaviour	SSH
Frontiers in Psychology	SSH
Healthy Aging & Clinical Care in the Elderly	SSH
Psychoanalysis, Self and Context	SSH
Erciyes Medical Journal	STEM
Erciyes Medical Journal	STEM
International Journal of Environmental Research and Public Health	STEM
Archives of Gerontology and Geriatrics	STEM
PJPPRP	Unknown or multidisciplinary
Habitus	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Postdigital Science and Education	SSH
International Journal on Integrated Education	SSH
Nursing and Residential Care	STEM
European Data Protection Law Review	SSH
Journal of Korean Classical Chinese Literature	SSH
Advances in Literary Study	SSH
American Literary History	SSH
Paedagogia Christiana	Unknown or multidisciplinary
Journal of Clinical Psychiatry	SSH
Choice Reviews Online	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
The Astronomical Journal	Unknown or multidisciplinary
IJAEDU- International E-Journal of Advances in Education	SSH
Pegem Journal of Education and Instruction	SSH
Baltic Journal of Legal and Social Sciences	SSH
Psychoneuroendocrinology	SSH
PSIKODIMENSIA	SSH
Nursing Older People	STEM
Boğaziçi Üniversitesi Eğitim Dergisi	Unknown or multidisciplinary
Psychoanalytic Psychology	SSH
Innovation in Aging	SSH
Bulletin of Baikal State University	Unknown or multidisciplinary
Health Affairs	STEM
The American Journal of Emergency Medicine	STEM
Journal of Adolescence	Unknown or multidisciplinary
Psychology and Aging	SSH
American Psychologist	SSH
Age and Ageing	SSH
Journal of Educational and Developmental Psychology	SSH
Caring for the Ages	Unknown or multidisciplinary
American Journal of Aging Science and Research	SSH
Healthcare	STEM
SSRN Electronic Journal	Unknown or multidisciplinary
Eurasian Journal of Religious Studies	SSH
Angelaki	Unknown or multidisciplinary
Journal of Educational & Psychological Sciences	SSH
Research & Review: Journal of Geriatric Nursing and Health Sciences	STEM
Emotions and Society	SSH
BMJ	Unknown or multidisciplinary
Academy of Management Proceedings	STEM
International Journal of Social Science and Humanity	SSH
Polish Psychological Bulletin	SSH
Indian Journal of Public Health Research & Development	SSH
The Journal of Psychology	SSH
Atatürk İletişim Dergisi	Unknown or multidisciplinary
Ageing and Society	SSH
Academy of Management Proceedings	STEM
Rehabilitation Nursing	STEM
Academy of Management Proceedings	STEM
Pro-Fil	Unknown or multidisciplinary
Social Behavior Research & Health	SSH
Pakistan Social Sciences Review	SSH
International Psychogeriatrics	SSH
Research on Education and Psychology	SSH
The Journal of Psychology	SSH
Sebatik	Unknown or multidisciplinary
British Journal of General Practice	Unknown or multidisciplinary
The European Journal of Psychiatry	SSH
Problems of the humanitarian sciences. Psychology	SSH
Antropologia Portuguesa	Unknown or multidisciplinary
Age and Ageing	SSH
Short Fiction in Theory & Practice	SSH
Frontiers: The Interdisciplinary Journal of Study Abroad	Unknown or multidisciplinary
European Journal of Ageing	SSH
The Open Psychology Journal	SSH
European Psychiatry	SSH
Archives of Gerontology and Geriatrics	STEM
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
Transcultural Psychiatry	SSH
PAKISTAN LANGUAGES AND HUMANITIES REVIEW	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Archives of Psychiatry Research	SSH
Humanities science current issues	SSH
Psychoneuroendocrinology	SSH
Innovation in Aging	SSH
Habitus	Unknown or multidisciplinary
Journal of Education and Educational Development	SSH
postmedieval	SSH
Innovation in Aging	SSH
Gerontechnology	STEM
Nursing Standard	STEM
Journal of Veterans Studies	SSH
Innovation in Aging	SSH
